adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000081061-24-000003	81061	PUBLIX SUPER MARKETS INC	5411	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		863-688-1188	US	FL	LAKELAND	33811	3300 PUBLIX CORPORATE PARKWAY		US	FL	590324412			4-NON	0	1231	8-K	20231231			20240102	2024-01-02 14:19:00.0	0	0	ck0000081061-20240101_htm.xml	1					
0000090168-23-000081	90168	SIFCO INDUSTRIES INC	3724	US	OH	CLEVELAND	44103	970 E 64TH ST		2168818600	US	OH	CLEVELAND	44103	970 EAST 64TH STREET		US	OH	340553950	STEEL IMPROVEMENT & FORGE CO	19690520	4-NON	0	0930	8-K	20231231			20240102	2023-12-29 17:44:00.0	0	0	sif-20231229_htm.xml	1					
0000090168-23-000083	90168	SIFCO INDUSTRIES INC	3724	US	OH	CLEVELAND	44103	970 E 64TH ST		2168818600	US	OH	CLEVELAND	44103	970 EAST 64TH STREET		US	OH	340553950	STEEL IMPROVEMENT & FORGE CO	19690520	4-NON	0	0930	10-K	20230930	2023	FY	20240102	2023-12-29 17:53:00.0	0	1	sif-20230930_htm.xml	1		13037758.00	20230331		1
0000093410-24-000002	93410	CHEVRON CORP	2911	US	CA	SAN RAMON	94583	6001 BOLLINGER CANYON ROAD		925-842-1000	US	CA	SAN RAMON	94583	6001 BOLLINGER CANYON ROAD		US	DE	940890210	CHEVRONTEXACO CORP	20011009	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 08:01:00.0	0	0	cvx-20240102_htm.xml	1					
0000107140-24-000002	107140	JOHN WILEY & SONS, INC.	2731	US	NJ	HOBOKEN	07030	111 RIVER STREET		2017486000	US	NJ	HOBOKEN	07030	111 RIVER STREET		US	NY	135593032	WILEY JOHN & SONS, INC.	20070820	1-LAF	0	0430	8-K	20231231			20240102	2024-01-02 12:35:00.0	0	0	jwa-20240102_htm.xml	1					
0000357173-24-000003	357173	OLD SECOND BANCORP INC	6022	US	IL	AURORA	60507	37 S RIVER ST		6308920202	US	IL	AURORA	60507	37 SOUTH RIVER STREET		US	DE	363143493			2-ACC	0	1231	8-K	20231231			20240102	2024-01-02 11:05:00.0	0	0	tmb-20240102x8k_htm.xml	1					
0000712534-24-000002	712534	FIRST MERCHANTS CORP	6021	US	IN	MUNCIE	47308-0792	200 E JACKSON ST	PO BOX 792	7657471500	US	IN	MUNCIE	47305	200 EAST JACKSON STREET		US	IN	351544218			1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 15:30:00.0	0	0	frme-20231229_htm.xml	1					
0000866374-24-000005	866374	FLEX LTD.	3672	SG		SINGAPORE	486123	2 CHANGI SOUTH LANE		(65) 6876-9899	SG		SINGAPORE	486123	2 CHANGI SOUTH LANE		SG		000000000	FLEXTRONICS INTERNATIONAL LTD.	20060608	1-LAF	0	0331	8-K	20231231			20240102	2024-01-02 09:02:00.0	0	0	flex-20240102_htm.xml	1					
0000886346-24-000002	886346	KADANT INC	3550	US	MA	WESTFORD	01886	ONE TECHNOLOGY PARK DRIVE		(978) 776-2000	US	MA	WESTFORD	01886	ONE TECHNOLOGY PARK DRIVE		US	DE	521762325	THERMO FIBERTEK INC	19930328	1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 07:51:00.0	0	0	kai-20240101_htm.xml	1					
0000898173-24-000003	898173	O REILLY AUTOMOTIVE INC	5531	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE		417-829-5878	US	MO	SPRINGFIELD	65802	233 S PATTERSON AVE				274358837			1-LAF	0	1231	8-K	20231231			20240102	2024-01-02 16:32:00.0	0	0	orly-20240102x8k_htm.xml	1					
